ell R_ell F_ell N_ell
156 3.0081619119253757e-06 2.3696599944563637e-07 2.7790087720548154e-06
157 3.0710895468892746e-06 3.1771831294133565e-07 2.7573634160083046e-06
158 3.0087046039640264e-06 2.9965595766630467e-07 2.7107660355726503e-06
159 3.0066869094871297e-06 2.956393869054527e-07 2.71398063612504e-06
160 2.983438281674573e-06 2.8847275969084964e-07 2.700776324808354e-06
161 2.952298437176157e-06 2.903260655530014e-07 2.6675074985841035e-06
162 3.0120040973897246e-06 3.135182616980773e-07 2.685373163923977e-06
163 3.010439539317271e-06 3.572292272431594e-07 2.6494571576977126e-06
164 3.003918681024196e-06 3.4052643435639327e-07 2.670189052371546e-06
165 2.975229557867458e-06 3.553091793134514e-07 2.622265594879981e-06
166 3.001690127524334e-06 3.480395062779788e-07 2.6353311540474852e-06
167 2.9385851470090515e-06 3.0132740563185807e-07 2.6379910174465828e-06
168 2.884140321235747e-06 2.893099120294298e-07 2.6094379153344916e-06
169 2.8769030682865894e-06 3.257174252363571e-07 2.544426159388712e-06
170 2.7521272991113017e-06 2.701472459708069e-07 2.510519386649028e-06
171 2.8118284780189965e-06 2.6941784125935735e-07 2.5465695121015104e-06
172 2.7902122960452435e-06 3.081445883182142e-07 2.4922486067271883e-06
173 2.7763187205757555e-06 2.9880622199366337e-07 2.4898013465776065e-06
174 2.7514520511238706e-06 3.108384979568497e-07 2.452704494591235e-06
175 2.7438368963058084e-06 3.0479004622720634e-07 2.4516845345817073e-06
176 2.711819339219154e-06 3.12903658197058e-07 2.3942476042638116e-06
177 2.7279169630004925e-06 2.802460134991008e-07 2.4245804420196504e-06
178 2.653780997089177e-06 2.637003648471541e-07 2.3744823343582953e-06
179 2.664909459891533e-06 2.7800236019435506e-07 2.387686949919339e-06
180 2.635800602714504e-06 2.6098503684152406e-07 2.376147654168059e-06
181 2.6041460423052255e-06 2.564230722218167e-07 2.324501007157883e-06
182 2.6074394669264004e-06 3.1234837370801683e-07 2.2804802167106113e-06
183 2.5594692022678455e-06 2.6150264865953546e-07 2.293684961228812e-06
184 2.5990863530292482e-06 2.954446760304045e-07 2.3067902528071935e-06
185 2.545917287425924e-06 3.150911345627598e-07 2.226802051327876e-06
186 2.502225079681462e-06 2.7358852876474995e-07 2.2193012513048633e-06
187 2.5343731944025247e-06 3.056402710288268e-07 2.2151999620680507e-06
188 2.451155223340168e-06 2.4109338628005964e-07 2.207755614475574e-06
189 2.485055378877913e-06 2.9193064567112787e-07 2.1904795629433192e-06
190 2.4340872760284503e-06 2.8008713038840556e-07 2.155878086702566e-06
191 2.3984683382433866e-06 2.7054898421063684e-07 2.1435641466537234e-06
192 2.3993787291847176e-06 2.900698576538444e-07 2.106561053990073e-06
193 2.473025685431207e-06 3.35221755400637e-07 2.137680170060194e-06
194 2.36354729505284e-06 2.6779924102920845e-07 2.0967086351006917e-06
195 2.311618434177691e-06 2.4880026452949635e-07 2.073289941567832e-06
196 2.340906425737236e-06 2.2396115522750557e-07 2.102823183645746e-06
197 2.3815698338168967e-06 3.0012869952548e-07 2.0970928447350777e-06
198 2.347146321008092e-06 2.828310810733468e-07 2.0593620417244643e-06
199 2.3449974621235125e-06 2.926842928532572e-07 2.056671461546412e-06
200 2.342296383539363e-06 3.1385529839905085e-07 2.029954186234726e-06
