83 1.1104e-04 4.0072e-06 2.0316e-07 1.9866e+00 -1.1195e-02 8.2552e-04 1.8308e-10 2.6382e-14 5.7000e-01
84 1.1105e-04 4.0165e-06 2.0385e-07 1.9639e+00 -1.1449e-02 8.2812e-04 1.7939e-10 2.5434e-14 5.7000e-01
85 1.1107e-04 4.0259e-06 2.0456e-07 1.9419e+00 -1.1694e-02 8.3055e-04 1.7583e-10 2.4528e-14 5.7000e-01
86 1.1109e-04 4.0354e-06 2.0528e-07 1.9206e+00 -1.1930e-02 8.3280e-04 1.7239e-10 2.3663e-14 5.7000e-01
87 1.1111e-04 4.0450e-06 2.0601e-07 1.9000e+00 -1.2159e-02 8.3488e-04 1.6907e-10 2.2838e-14 5.7000e-01
88 1.1113e-04 4.0548e-06 2.0675e-07 1.8800e+00 -1.2380e-02 8.3677e-04 1.6587e-10 2.2051e-14 5.7000e-01
89 1.1115e-04 4.0648e-06 2.0751e-07 1.8606e+00 -1.2594e-02 8.3848e-04 1.6277e-10 2.1300e-14 5.7000e-01
90 1.1117e-04 4.0748e-06 2.0827e-07 1.8418e+00 -1.2799e-02 8.4002e-04 1.5978e-10 2.0583e-14 5.7000e-01
91 1.1119e-04 4.0850e-06 2.0904e-07 1.8235e+00 -1.2997e-02 8.4138e-04 1.5689e-10 1.9897e-14 5.7000e-01
92 1.1121e-04 4.0953e-06 2.0982e-07 1.8058e+00 -1.3187e-02 8.4256e-04 1.5409e-10 1.9240e-14 5.7000e-01
93 1.1123e-04 4.1058e-06 2.1062e-07 1.7885e+00 -1.3369e-02 8.4357e-04 1.5138e-10 1.8610e-14 5.7000e-01
94 1.1125e-04 4.1164e-06 2.1142e-07 1.7718e+00 -1.3544e-02 8.4440e-04 1.4876e-10 1.8007e-14 5.7000e-01
95 1.1127e-04 4.1272e-06 2.1224e-07 1.7555e+00 -1.3711e-02 8.4505e-04 1.4622e-10 1.7428e-14 5.7000e-01
96 1.1129e-04 4.1381e-06 2.1307e-07 1.7396e+00 -1.3871e-02 8.4553e-04 1.4376e-10 1.6874e-14 5.7000e-01
97 1.1131e-04 4.1491e-06 2.1390e-07 1.7241e+00 -1.4024e-02 8.4584e-04 1.4138e-10 1.6343e-14 5.7000e-01
98 1.1133e-04 4.1603e-06 2.1475e-07 1.7091e+00 -1.4168e-02 8.4597e-04 1.3908e-10 1.5835e-14 5.7000e-01
99 1.1135e-04 4.1716e-06 2.1561e-07 1.6945e+00 -1.4306e-02 8.4593e-04 1.3684e-10 1.5348e-14 5.7000e-01
100 1.1138e-04 4.1831e-06 2.1648e-07 1.6802e+00 -1.4436e-02 8.4572e-04 1.3467e-10 1.4882e-14 5.7000e-01
101 1.1140e-04 4.1947e-06 2.1736e-07 1.6663e+00 -1.4559e-02 8.4534e-04 1.3257e-10 1.4434e-14 5.7000e-01
102 1.1142e-04 4.2065e-06 2.1825e-07 1.6527e+00 -1.4675e-02 8.4480e-04 1.3053e-10 1.4005e-14 5.7000e-01
