# ell  TT    EE    TE
1.010000000000000000e+02 1.645518570402732195e+00 4.784605282966363600e-04 -1.432959902661908209e-02
1.020000000000000000e+02 1.632155798942333202e+00 4.778118149527911464e-04 -1.444219120693049363e-02
1.030000000000000000e+02 1.619108032795825824e+00 4.769816345334923924e-04 -1.454761229631261303e-02
1.040000000000000000e+02 1.606359465633188544e+00 4.760314093671211169e-04 -1.464589428400395188e-02
1.050000000000000000e+02 1.593898992368516065e+00 4.748650275970722930e-04 -1.473709245946913313e-02
1.060000000000000000e+02 1.581716683227379239e+00 4.735755034823655590e-04 -1.482126793723006000e-02
1.070000000000000000e+02 1.569802608435716174e+00 4.721453053586293735e-04 -1.489848183181344786e-02
1.080000000000000000e+02 1.558146838218517072e+00 4.705351505135792547e-04 -1.496879525773454553e-02
1.090000000000000000e+02 1.546739442801764897e+00 4.688086089730115862e-04 -1.503226932952155676e-02
1.100000000000000000e+02 1.535570492411111765e+00 4.669269093462879885e-04 -1.508896516169543067e-02
1.110000000000000000e+02 1.524630057271819883e+00 4.648781212100170160e-04 -1.513894386878178455e-02
1.120000000000000000e+02 1.513908207609447443e+00 4.626897030599831846e-04 -1.518226656529945810e-02
1.130000000000000000e+02 1.503395013650101530e+00 4.603715253909077009e-04 -1.521899436577202162e-02
1.140000000000000000e+02 1.493080545618526100e+00 4.579071547084429612e-04 -1.524918838472739263e-02
1.150000000000000000e+02 1.482954873741288093e+00 4.552976633376755477e-04 -1.527290973668349837e-02
1.160000000000000000e+02 1.473008664273006696e+00 4.526095546787955461e-04 -1.529022150753872426e-02
1.170000000000000000e+02 1.463234967586107160e+00 4.497367621242234900e-04 -1.530119466869420478e-02
1.180000000000000000e+02 1.453627430083243244e+00 4.467419233448610845e-04 -1.530590216293462903e-02
1.190000000000000000e+02 1.444179698166234038e+00 4.436086561462312733e-04 -1.530441693303165318e-02
1.200000000000000000e+02 1.434885418237613619e+00 4.403680795356499397e-04 -1.529681192176595220e-02
1.210000000000000000e+02 1.425738236699184203e+00 4.370332970503111895e-04 -1.528316007191546193e-02
1.220000000000000000e+02 1.416731799953505844e+00 4.335671478779734209e-04 -1.526353432625723698e-02
1.230000000000000000e+02 1.407859754402800201e+00 4.299612025177725972e-04 -1.523800762757217785e-02
1.240000000000000000e+02 1.399115746449157927e+00 4.263031580024422397e-04 -1.520665291863423051e-02
1.250000000000000000e+02 1.390493422495025833e+00 4.224901591173646585e-04 -1.516954314222433882e-02
1.260000000000000000e+02 1.381986428942190370e+00 4.185739982978437966e-04 -1.512675124111977597e-02
1.270000000000000000e+02 1.373588412193149200e+00 4.145308771631303017e-04 -1.507835015809588959e-02
1.280000000000000000e+02 1.365293018650381995e+00 4.104531896381243450e-04 -1.502441283593621522e-02
1.290000000000000000e+02 1.357094352271588145e+00 4.062691400136856593e-04 -1.496501459847394445e-02
1.300000000000000000e+02 1.348988347236932839e+00 4.019641032756741885e-04 -1.490024029377378170e-02
1.310000000000000000e+02 1.340971395281705503e+00 3.975900687752117286e-04 -1.483017715096041599e-02
1.320000000000000000e+02 1.333039888142266927e+00 3.931553341722597550e-04 -1.475491239915840622e-02
1.330000000000000000e+02 1.325190217553526395e+00 3.886365511182624465e-04 -1.467453326748885054e-02
1.340000000000000000e+02 1.317418775251800733e+00 3.840072558828060037e-04 -1.458912698507668255e-02
1.350000000000000000e+02 1.309721952972592307e+00 3.793207896213137494e-04 -1.449878078104458422e-02
1.360000000000000000e+02 1.302096142451567129e+00 3.746028373710587529e-04 -1.440358188451748914e-02
1.370000000000000000e+02 1.294537735424214020e+00 3.697578646600994511e-04 -1.430361752461925887e-02
1.380000000000000000e+02 1.287043123626990360e+00 3.648949519232909454e-04 -1.419897493047209483e-02
1.390000000000000000e+02 1.279608698794778787e+00 3.599887412719860098e-04 -1.408974133120078319e-02
1.400000000000000000e+02 1.272230852663990275e+00 3.549884312528063437e-04 -1.397600395592714199e-02
1.410000000000000000e+02 1.264905976970282397e+00 3.499586292386590476e-04 -1.385785003377657150e-02
