ell R_ell F_ell N_ell
103 3.488648520900535e-06 3.404715502422502e-07 3.1633300348841077e-06
104 3.5388433215935836e-06 3.767966889301817e-07 3.153802916672468e-06
105 3.415757251599697e-06 3.24215941863038e-07 3.099710847898526e-06
106 3.424642364967403e-06 3.2656460032334063e-07 3.1020159610537255e-06
107 3.363806101800198e-06 2.495960469064015e-07 3.0926170858054448e-06
108 3.330506179531443e-06 2.8693814289772367e-07 3.0403446536574013e-06
109 3.3356751970754205e-06 2.8029438834643e-07 3.050624052238619e-06
110 3.3292717243934535e-06 3.005640582387023e-07 3.0447369277485836e-06
111 3.3207421823071504e-06 3.0563390568428557e-07 3.017377040310857e-06
112 3.306919728886481e-06 3.127639182336749e-07 2.988531576785272e-06
113 3.2853014061007448e-06 2.8654610659834645e-07 2.9903050836457736e-06
114 3.1842764872694726e-06 2.197602289245071e-07 2.9582280512489194e-06
115 3.223411590412111e-06 3.0046695650868464e-07 2.916782359815295e-06
116 3.134554086551865e-06 2.1230656954060546e-07 2.9407844462684578e-06
117 3.1904084093824137e-06 2.7181264917228234e-07 2.927226556829912e-06
118 3.1595077521624416e-06 2.465843793119801e-07 2.900751232450655e-06
119 3.1363856537776564e-06 2.772323661449406e-07 2.8487010702925404e-06
120 3.088813656050532e-06 2.510979335514527e-07 2.840121327100471e-06
121 3.1442124520074558e-06 3.1645478228512197e-07 2.845928618701542e-06
122 3.0270323615241194e-06 2.3837378229308993e-07 2.789705014193871e-06
123 3.0491556369424465e-06 2.7080982964240047e-07 2.785330589776019e-06
124 3.1301891149802422e-06 3.1955387882387915e-07 2.8166309312356636e-06
125 3.0667478357950202e-06 2.8849628795652244e-07 2.7768584038003136e-06
126 3.0398864306338026e-06 2.787189683555743e-07 2.7509080433287655e-06
127 2.9818569581686016e-06 2.837346303225028e-07 2.6908740992682787e-06
128 3.0047413340095046e-06 2.90876385592158e-07 2.7074052761876248e-06
129 3.0042225259477785e-06 3.3644700813462384e-07 2.6852945100020017e-06
130 2.964175319690627e-06 2.9058889800537515e-07 2.6726047471178058e-06
131 2.9650895304632573e-06 3.402878896136996e-07 2.6311400741786515e-06
132 2.9123353644939155e-06 3.065326184429963e-07 2.620926582286001e-06
133 2.910654094381035e-06 2.9068844195130543e-07 2.6295078809945693e-06
134 2.7925164545592693e-06 2.0674953472145608e-07 2.5813888698083186e-06
135 2.8309039795219595e-06 2.7501492023163247e-07 2.5647336410159443e-06
136 2.901811480143154e-06 3.121324636193471e-07 2.58595945911914e-06
137 2.8203893774922177e-06 2.922816611705565e-07 2.517616064788709e-06
138 2.755616406091672e-06 2.6767533885920375e-07 2.4934723415812402e-06
139 2.7378375251162776e-06 2.514878136934866e-07 2.4885139407544283e-06
140 2.7032038880037904e-06 2.448511747671337e-07 2.4477475416096027e-06
141 2.714536765264308e-06 2.8189613810213663e-07 2.423529973831774e-06
142 2.6185077866542394e-06 1.9506543238605314e-07 2.4098454527416306e-06
143 2.66877580369976e-06 2.6470570932567865e-07 2.401570756231895e-06
144 2.7125825787596977e-06 3.485013003226927e-07 2.3674809279287036e-06
145 2.653496158729179e-06 2.650540359157666e-07 2.3919974151649116e-06
146 2.625415308832871e-06 2.749209975255592e-07 2.351232437763052e-06
147 2.6180005164352753e-06 2.737805797643427e-07 2.335826297803857e-06
148 2.5768727733086623e-06 2.920387212383766e-07 2.2795793866545076e-06
149 2.56574997857645e-06 2.840619126392758e-07 2.2859332594753325e-06
150 2.510199987689312e-06 2.537030543798099e-07 2.263370144862359e-06
151 2.5650742142485263e-06 3.3265160630090317e-07 2.2329817802991983e-06
152 2.5620019558424507e-06 2.964227398186307e-07 2.2617464354945015e-06
153 2.509325446223311e-06 2.814211562753194e-07 2.2234162585141186e-06
154 2.519995772939442e-06 3.184130331093074e-07 2.200596014921795e-06
