# units: uK_CMB^2
ell R_ell F_ell N_ell
96 2.893465410660966e-06 3.137178063409157e-07 2.592154901875883e-06
97 2.813335040402422e-06 3.684556954605156e-07 2.5202461717119336e-06
98 2.8174102490093056e-06 3.433580537426609e-07 2.5126563473127794e-06
99 2.720035289996133e-06 2.8786247744268184e-07 2.4693775206625265e-06
100 2.675505071450877e-06 3.077913002608589e-07 2.4233403096890327e-06
101 2.617931084072362e-06 3.4231919673056926e-07 2.3544939833966113e-06
102 2.5815190304310648e-06 2.9979855800238687e-07 2.327078840451396e-06
103 2.4593119759710867e-06 2.505197933554201e-07 2.2521930575754796e-06
104 2.619120376454728e-06 3.966693220254446e-07 2.2584784125999917e-06
105 2.523965780804587e-06 3.736170235895162e-07 2.20480053844945e-06
106 2.5682104698717947e-06 4.4955831283829737e-07 2.1597413160235994e-06
107 2.532942372084719e-06 4.1984031480451873e-07 2.158939029497978e-06
108 2.423151904636292e-06 3.5611108877828395e-07 2.11492223105299e-06
109 2.43614435669315e-06 4.039832805956295e-07 2.1027853430838574e-06
110 2.4053837465243227e-06 3.3146247666402445e-07 2.1128245248941626e-06
111 2.444013420260444e-06 3.7211299095806553e-07 2.101821751431031e-06
112 2.475931055831341e-06 4.289644974864632e-07 2.079926234239455e-06
113 2.450399634242907e-06 4.126025417141495e-07 2.0525488827521143e-06
114 2.318303736129581e-06 3.119990859737155e-07 2.04091798475207e-06
115 2.3956233875750958e-06 4.21855177410588e-07 2.0275771116775234e-06
116 2.3820952476500777e-06 3.822418678179133e-07 2.0642828274743392e-06
117 2.3683926613174036e-06 3.555381721093972e-07 2.067467121447438e-06
118 2.2995848462295246e-06 2.903599584887705e-07 2.039149314225788e-06
119 2.3492262400721873e-06 3.53910092811698e-07 2.0371501050772828e-06
120 2.3741523602757046e-06 3.452820495341919e-07 2.0561550876522265e-06
121 2.447768813763265e-06 4.1628229950527447e-07 2.085719424557818e-06
122 2.4133455080743667e-06 3.8346438681792e-07 2.080952444734438e-06
123 2.378273881040326e-06 3.319473758284376e-07 2.080368161531405e-06
124 2.4670402224748575e-06 3.8134042950584746e-07 2.1257948322407707e-06
125 2.4084789029003992e-06 3.2484538580416767e-07 2.1269532577421405e-06
126 2.439792604285776e-06 3.4337210426696154e-07 2.1167172778529633e-06
127 2.4257850149299924e-06 3.511199580020166e-07 2.1040542205435074e-06
128 2.4089907764723413e-06 3.101760707427639e-07 2.139929559399213e-06
129 2.4077929376834698e-06 3.2720606856502726e-07 2.1248462181889257e-06
130 2.4736946866597016e-06 3.7478277107776834e-07 2.1414915290205484e-06
131 2.4370116605971896e-06 3.171738684050037e-07 2.153410724866724e-06
132 2.418812597884373e-06 2.8119557735610626e-07 2.189655988908195e-06
133 2.4379062605986183e-06 2.5601241018164715e-07 2.2214716265066007e-06
